date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
11/21/2022,"GRACE","For time:30 clean and jerks Rx (95/135)",225,"3:45","","","[{""secs"":45,""mins"":3}]","75#",SCALED,
11/22/2022,"2 ROUNDS","2 rounds for time:100 double-unders25 shoulder-to-overheads25 burpeesRx (65/95)55+ (45/65)",695,"11:35","","","[{""secs"":35,""mins"":11}]","Handful of successful DU65#",SCALED,
11/23/2022,"BACK SQUAT","Back Squat5-5-3-3-3-1-1-1-1-1",165,"165","Load","Back Squat","[{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":true,""load"":115},{""success"":true,""load"":125},{""success"":true,""load"":135},{""success"":true,""load"":145},{""success"":true,""load"":155},{""success"":true,""load"":165}]","",RX,
11/24/2022,"THANKSGIVING PARTNER WORKOUT","BUY-IN: Last Minute Store Run5 ROUNDS24ft Family relay11 Grocery Bag Pick-Ups20 Recliner Get-Ups22 Turkey Tosses",1568,"26:08","","","[{""secs"":8,""mins"":26}]","",RX,
11/25/2022,"SLOW YOUR ROW!","12:00 AMRAPIN TEAMS OF 3, ALL WORKING AT THE SAME TIME1:00 SLOW row1 deadlift1 box jump over-Athletes will row SLOW while other 2 athletes ""leap frog"" 1 box jump over and 1 deadlift until all 12 reps are completed. Rowing athlete rotates every minuteRx (105/155 & 20/24)55+ (75/115 & 16/20)",139,"139","Reps","","[{""reps"":139}]","135# DL",SCALED,
11/26/2022,"4 PARTNER ROUNDS FOR TIME","4 rounds for time:200-m run20 pull-ups200-m run20 push-ups200-m run20 sit-ups200-m run20 air squatsRun together, split the other movements 10/10",1500,"25:00","","","[{""secs"":0,""mins"":25}]","3 full rounds + first 200m run from 4th round",SCALED,
11/28/2022,"ELLEN","3 rounds for time:20 burpees21 dumbbell snatches12 dumbbell thrustersRx (35/50)",849,"14:09","","","[{""secs"":9,""mins"":14}]","30# DB",SCALED,
11/28/2022,"Front Squat","3x5 @75% of Clean",115,"115","Load","","[{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]","",RX,
11/29/2022,"15:00 AMRAP","On a 15:00 clock:1,700/2,000-m rowIn the remaining time:AMRAP:10 ring dips10 bar muscle-ups",1.011,"1+11","Rounds + Reps","","[{""rnds"":1,""reps"":11}]","Banded ring dipsBurpees + strict pull ups",SCALED,
11/30/2022,"Clean","3x2 @ 80%",125,"125","Load","","[{""success"":true,""load"":125},{""success"":true,""load"":125},{""success"":true,""load"":125}]","Hang clean 4x2 @80%",SCALED,
